location,year,month,bike_east_north,bike_west_sout,ped_east_north,ped_west_sout
Paseo del Bosque Trail & Tingley Beach,2020,10,10002,9800,0,3426
Paseo del Bosque Trail & Montano Rd,2020,10,10425,10619,2647,3436
North Diversion Channel Trail & Journal Center,2020,10,4159,4106,1456,1264
North Diversion Channel Trail & Indian School Rd,2020,10,3245,3149,1548,1584
Paseo de las Montanas Trail at Jerry Cline,2020,10,2139,2015,2967,3502
Paseo del Nordeste Trail at Erna Fergusson,2020,10,531,489,2177,1044
North Diversion Channel Trail & Journal Center,2020,11,2892,2906,1199,1118
Paseo del Bosque Trail & Tingley Beach,2020,11,7030,6767,0,2733
Paseo del Bosque Trail & Montano Rd,2020,11,7544,7523,1963,2472
North Diversion Channel Trail & Indian School Rd,2020,11,2592,2458,2150,2176
Paseo del Nordeste Trail at Erna Fergusson,2020,11,1206,1253,4886,2497
Paseo de las Montanas Trail at Jerry Cline,2020,11,1443,633,2809,3793
Paseo del Norte Trail at Rail Runner Station,2020,11,2020,2101,379,623
Paseo de las Montanas Trail at Jerry Cline,2020,12,1033,389,2233,2976
Paseo del Norte Trail at Rail Runner Station,2020,12,1318,1383,368,940
Paseo del Bosque Trail & Tingley Beach,2020,12,4074,4092,0,2294
Paseo del Bosque Trail & Montano Rd,2020,12,4313,4523,1590,1787
North Diversion Channel Trail & Journal Center,2020,12,1967,2045,855,772
North Diversion Channel Trail & Indian School Rd,2020,12,1814,1708,1811,1946
Paseo del Nordeste Trail at Erna Fergusson,2020,12,839,733,5530,2193
North Diversion Channel Trail & Indian School Rd,2021,1,2178,1932,1432,1493
North Diversion Channel Trail & Journal Center,2021,1,958,963,535,455
Paseo de las Montanas Trail at Jerry Cline,2021,1,1105,481,2743,3477
Paseo del Bosque Trail & Montano Rd,2021,1,4772,4939,1736,1884
Paseo del Bosque Trail & Tingley Beach,2021,1,4518,4531,2648,2872
Paseo del Nordeste Trail at Erna Fergusson,2021,1,780,701,4137,1905
Paseo del Norte Trail at Rail Runner Station,2021,1,627,648,164,298
North Diversion Channel Trail & Indian School Rd,2021,2,1859,1697,2077,2143
North Diversion Channel Trail & Journal Center,2021,2,375,419,174,148
Paseo de las Montanas Trail at Jerry Cline,2021,2,609,231,1724,2245
Paseo del Bosque Trail & Montano Rd,2021,2,4684,4702,1499,1776
Paseo del Bosque Trail & Tingley Beach,2021,2,4445,4395,2487,2653
Paseo del Nordeste Trail at Erna Fergusson,2021,2,926,794,4589,2111
Paseo del Norte Trail at Rail Runner Station,2021,2,0,0,0,0
North Diversion Channel Trail & Indian School Rd,2021,3,2336,2138,1527,1694
North Diversion Channel Trail & Journal Center,2021,3,2655,2695,1288,1091
Paseo de las Montanas Trail at Jerry Cline,2021,3,6495,6626,1922,2254
Paseo del Bosque Trail & Montano Rd,2021,3,6495,6626,1922,2254
Paseo del Bosque Trail & Tingley Beach,2021,3,6083,5978,2827,2984
Paseo del Nordeste Trail at Erna Fergusson,2021,3,510,494,2546,1174
Paseo del Norte Trail at Rail Runner Station,2021,3,0,0,0,0
North Diversion Channel Trail & Indian School Rd,2021,4,792,889,748,942
North Diversion Channel Trail & Journal Center,2021,4,3140,3132,1667,1328
Paseo de las Montanas Trail at Jerry Cline,2021,4,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2021,4,5174,5279,1502,1927
Paseo del Bosque Trail & Tingley Beach,2021,4,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2021,4,759,833,2164,1445
Paseo del Norte Trail at Rail Runner Station,2021,4,836,845,237,278
North Diversion Channel Trail & Indian School Rd,2021,5,560,765,630,953
North Diversion Channel Trail & Journal Center,2021,5,3886,3744,1641,1181
Paseo de las Montanas Trail at Jerry Cline,2021,5,1794,1920,2862,3127
Paseo del Bosque Trail & Montano Rd,2021,5,9403,9709,2261,2874
Paseo del Bosque Trail & Tingley Beach,2021,5,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2021,5,1742,1757,3666,2630
Paseo del Norte Trail at Rail Runner Station,2021,5,2554,2766,580,721
North Diversion Channel Trail & Indian School Rd,2021,6,614,965,471,855
North Diversion Channel Trail & Journal Center,2021,6,3598,3496,1391,982
Paseo de las Montanas Trail at Jerry Cline,2021,6,1916,2213,2851,2953
Paseo del Bosque Trail & Montano Rd,2021,6,8311,8786,1906,2461
Paseo del Bosque Trail & Tingley Beach,2021,6,2613,2585,1044,1000
Paseo del Nordeste Trail at Erna Fergusson,2021,6,1769,1481,2844,2233
Paseo del Norte Trail at Rail Runner Station,2021,6,2310,2416,511,563
