,Location,Date,Value
137,Paseo del Norte & Rail Runner Bicycle Westbound,2017-05,3157.0
138,Paseo del Norte & Rail Runner PED Eastbound,2017-05,486.0
139,Paseo del Norte & Rail Runer PED Westbound,2017-05,619.0
140,Jerry Cline Park Pedestrians IN West,2017-06,0.0
141,Jerry Cline Park Pedestrians OUT East,2017-06,0.0
142,Jerry Cline Park Bicyclists OUT East,2017-06,0.0
143,Erna Fergusson Library Bicycle Eastbound,2017-06,2039.0
144,Erna Fergusson Library Bicycle Westbound,2017-06,1832.0
145,Erna Fergusson Library PED Eastbound,2017-06,3058.0
146,Erna Fergusson Library PED Westbound,2017-06,2326.0
147,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-06,0.0
148,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-06,0.0
149,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-06,0.0
150,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-06,0.0
151,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-06,0.0
152,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-06,0.0
153,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-06,0.0
154,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-06,0.0
155,Jerry Cline Park Cyclists IN West,2017-06,0.0
156,Paseo del Bosque & Montano Rd Cyclists North,2017-06,0.0
157,Paseo del Bosque & Montano Rd Cyclists South,2017-06,0.0
158,Paseo del Bosque & Montano Rd Pedestrians North,2017-06,0.0
159,Paseo del Bosque & Montano Rd Pedestrians South,2017-06,0.0
160,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-06,0.0
161,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-06,0.0
162,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-06,0.0
163,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-06,0.0
164,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-06,3046.0
165,Paseo del Norte & Rail Runner Bicycle Westbound,2017-06,3102.0
166,Paseo del Norte & Rail Runner PED Eastbound,2017-06,456.0
167,Paseo del Norte & Rail Runer PED Westbound,2017-06,595.0
168,Jerry Cline Park Pedestrians IN West,2017-07,0.0
169,Jerry Cline Park Pedestrians OUT East,2017-07,0.0
